dataset,context_condition,run,MeanPolysemyRatio,MedianPolysemyRatio,GiniPolysemy,ACI,n_messages,Dataset,Context
"(4,4)",coarse,0,0.00997321746296331,0.004008016032064128,0.640590583938226,0.5521126760563381,214,"D(4,4)",coarse
"(4,4)",coarse,1,0.007994712829915148,0.002004008016032064,0.6293301811663566,0.5644444444444444,282,"D(4,4)",coarse
"(4,4)",coarse,2,0.010395059124096145,0.004008016032064128,0.6806173644657327,0.6223224351747464,171,"D(4,4)",coarse
"(4,4)",coarse,3,0.011987611586809985,0.006012024048096192,0.6403610573289154,0.5825734549138805,165,"D(4,4)",coarse
"(4,4)",coarse,4,0.012629285416470522,0.004008016032064128,0.6815618499792687,0.5910543130990416,149,"D(4,4)",coarse
"(4,4)",mixed,0,0.002658730316829816,0.002004008016032064,0.1992639566442781,0.21478521478521478,1509,"D(4,4)",mixed
"(4,4)",mixed,1,0.002694557089060381,0.002004008016032064,0.21046599960480453,0.22825452422650322,1274,"D(4,4)",mixed
"(4,4)",mixed,2,0.0034139344679206124,0.002004008016032064,0.31198731862862716,0.2729439809296782,985,"D(4,4)",mixed
"(4,4)",mixed,3,0.003086498958335763,0.002004008016032064,0.2748524580329907,0.25925925925925924,859,"D(4,4)",mixed
"(4,4)",mixed,4,0.002739025402329538,0.002004008016032064,0.21629991066300303,0.22783323546682324,1246,"D(4,4)",mixed
"(4,4)",fine,0,0.002210979335720621,0.002004008016032064,0.08641268600091367,0.18424962852897475,1220,"D(4,4)",fine
"(4,4)",fine,1,0.002473178401000896,0.002004008016032064,0.16332080674311583,0.20872971460548406,1448,"D(4,4)",fine
"(4,4)",fine,2,0.002490934792896347,0.002004008016032064,0.16518633028129853,0.20403176542455712,1317,"D(4,4)",fine
"(4,4)",fine,3,0.0021593240301917066,0.002004008016032064,0.06735352910920475,0.16383616383616384,929,"D(4,4)",fine
"(4,4)",fine,4,0.002476079565179855,0.002004008016032064,0.16408869976265178,0.21068249258160238,1091,"D(4,4)",fine
"(4,8)",coarse,0,0.002289801379026449,0.00038109756097560977,0.7974837249989952,0.7255969101123596,948,"D(4,8)",coarse
"(4,8)",coarse,1,0.0021287926603850145,0.00038109756097560977,0.77421108384809,0.6858868299139642,1082,"D(4,8)",coarse
"(4,8)",coarse,2,0.001804514609488976,0.00038109756097560977,0.7679726103692205,0.6936215639178009,1187,"D(4,8)",coarse
"(4,8)",coarse,3,0.002303527683328425,0.00038109756097560977,0.7720962041005918,0.681830563879052,911,"D(4,8)",coarse
