dataset,context_condition,run,message,n_concepts
"(3,4)",mixed,0,"(12, 8, 4, 0)",1
"(3,4)",mixed,0,"(12, 8, 9, 0)",1
"(3,4)",mixed,0,"(12, 8, 12, 0)",2
"(3,4)",mixed,0,"(12, 9, 8, 0)",1
"(3,4)",mixed,0,"(12, 9, 12, 0)",3
"(3,4)",mixed,0,"(12, 11, 11, 0)",1
"(3,4)",mixed,0,"(12, 11, 12, 0)",2
"(3,4)",mixed,0,"(12, 11, 15, 0)",1
"(3,4)",mixed,0,"(12, 12, 4, 0)",1
"(3,4)",mixed,0,"(12, 12, 8, 0)",1
"(3,4)",mixed,0,"(12, 12, 11, 0)",2
"(3,4)",mixed,0,"(12, 12, 12, 0)",11
"(3,4)",mixed,0,"(12, 12, 15, 0)",3
"(3,4)",mixed,0,"(12, 15, 3, 0)",1
"(3,4)",mixed,0,"(12, 15, 4, 0)",1
"(3,4)",mixed,0,"(12, 15, 9, 0)",1
"(3,4)",mixed,0,"(12, 15, 11, 0)",1
"(3,4)",mixed,0,"(12, 15, 12, 0)",2
"(3,4)",mixed,0,"(15, 3, 3, 0)",2
"(3,4)",mixed,0,"(15, 3, 11, 0)",1
"(3,4)",mixed,0,"(15, 3, 15, 0)",2
"(3,4)",mixed,0,"(15, 4, 4, 0)",2
"(3,4)",mixed,0,"(15, 4, 12, 0)",1
"(3,4)",mixed,0,"(15, 4, 15, 0)",2
"(3,4)",mixed,0,"(15, 7, 15, 0)",1
"(3,4)",mixed,0,"(15, 9, 3, 0)",3
"(3,4)",mixed,0,"(15, 9, 9, 0)",3
"(3,4)",mixed,0,"(15, 9, 15, 0)",1
"(3,4)",mixed,0,"(15, 11, 15, 0)",1
"(3,4)",mixed,0,"(15, 15, 9, 0)",2
"(3,4)",mixed,0,"(15, 15, 11, 0)",1
"(3,4)",mixed,0,"(15, 15, 15, 0)",1
"(3,4)",mixed,1,"(1, 1, 1, 0)",1
"(3,4)",mixed,1,"(2, 2, 2, 0)",4
"(3,4)",mixed,1,"(2, 2, 5, 0)",1
"(3,4)",mixed,1,"(2, 5, 5, 0)",4
"(3,4)",mixed,1,"(3, 2, 2, 0)",3
"(3,4)",mixed,1,"(3, 2, 5, 0)",4
"(3,4)",mixed,1,"(3, 3, 2, 0)",2
"(3,4)",mixed,1,"(3, 3, 3, 0)",3
"(3,4)",mixed,1,"(3, 3, 4, 0)",3
"(3,4)",mixed,1,"(3, 3, 5, 0)",2
"(3,4)",mixed,1,"(3, 3, 6, 0)",3
"(3,4)",mixed,1,"(3, 4, 3, 0)",2
"(3,4)",mixed,1,"(3, 4, 4, 0)",1
"(3,4)",mixed,1,"(3, 4, 14, 0)",1
"(3,4)",mixed,1,"(3, 5, 5, 0)",7
"(3,4)",mixed,1,"(3, 6, 5, 0)",2
"(3,4)",mixed,1,"(3, 6, 6, 0)",3
"(3,4)",mixed,1,"(3, 6, 7, 0)",1
"(3,4)",mixed,1,"(3, 7, 5, 0)",2
"(3,4)",mixed,1,"(3, 14, 2, 0)",3
"(3,4)",mixed,1,"(3, 14, 7, 0)",1
"(3,4)",mixed,1,"(3, 14, 14, 0)",1
"(3,4)",mixed,1,"(4, 2, 2, 0)",1
"(3,4)",mixed,1,"(4, 3, 3, 0)",2
"(3,4)",mixed,1,"(4, 3, 4, 0)",2
"(3,4)",mixed,1,"(4, 4, 2, 0)",2
"(3,4)",mixed,1,"(4, 4, 4, 0)",3
"(3,4)",mixed,1,"(4, 4, 5, 0)",1
"(3,4)",mixed,1,"(4, 4, 7, 0)",1
"(3,4)",mixed,1,"(4, 4, 14, 0)",4
"(3,4)",mixed,1,"(4, 14, 2, 0)",2
"(3,4)",mixed,1,"(4, 14, 5, 0)",2
"(3,4)",mixed,1,"(4, 14, 14, 0)",1
"(3,4)",mixed,1,"(5, 5, 5, 0)",4
"(3,4)",mixed,1,"(6, 1, 1, 0)",1
"(3,4)",mixed,1,"(6, 5, 5, 0)",3
"(3,4)",mixed,1,"(6, 6, 5, 0)",2
"(3,4)",mixed,1,"(6, 6, 6, 0)",3
"(3,4)",mixed,1,"(6, 6, 7, 0)",1
"(3,4)",mixed,1,"(6, 7, 1, 0)",1
"(3,4)",mixed,1,"(6, 7, 5, 0)",3
"(3,4)",mixed,1,"(6, 7, 7, 0)",2
"(3,4)",mixed,1,"(6, 9, 5, 0)",1
"(3,4)",mixed,1,"(7, 1, 2, 0)",1
