message,count,symbols,fixed_attribute_values
"(16, 20, 20, 0)",1,"{(16, 20)}","{(5, 6, 2)}"
"(16, 24, 16, 0)",1,"{(16, 24)}","{(7, 5, 3)}"
"(16, 24, 20, 0)",1,"{(16, 24, 20)}","{(5, '?', 3)}"
"(16, 24, 24, 0)",1,"{(16, 24)}","{(7, 0, 3)}"
"(16, 25, 16, 0)",5,"{(16, 25)}","{('?', '?', '?')}"
"(16, 25, 18, 0)",5,"{(16, 25, 18)}","{('?', '?', '?')}"
"(16, 25, 19, 0)",3,"{(16, 25, 19)}","{(7, '?', '?')}"
"(16, 25, 21, 0)",1,"{(16, 25, 21)}","{(7, 0, 0)}"
"(16, 25, 25, 0)",5,"{(16, 25)}","{('?', '?', '?')}"
"(16, 4, 10, 0)",2,"{(16, 10, 4)}","{(5, '?', '?')}"
"(16, 4, 16, 0)",2,"{(16, 4)}","{('?', 2, 2)}"
"(16, 4, 2, 0)",16,"{(16, 2, 4)}","{(5, '?', '?')}"
"(16, 4, 20, 0)",7,"{(16, 4, 20)}","{(5, '?', '?')}"
"(16, 4, 4, 0)",5,"{(16, 4)}","{('?', '?', '?')}"
"(17, 10, 10, 0)",4,"{(17, 10)}","{('?', '?', 1)}"
"(17, 10, 16, 0)",2,"{(16, 17, 10)}","{('?', '?', 1)}"
"(17, 10, 17, 0)",4,"{(17, 10)}","{(6, '?', 1)}"
"(17, 10, 20, 0)",2,"{(17, 10, 20)}","{(6, '?', 1)}"
"(17, 10, 4, 0)",6,"{(17, 10, 4)}","{(0, '?', 1)}"
"(17, 12, 12, 0)",1,"{(17, 12)}","{(6, 1, 1)}"
"(17, 12, 20, 0)",1,"{(17, 12, 20)}","{(6, 1, 1)}"
"(17, 12, 27, 0)",1,"{(17, 27, 12)}","{(6, 1, 1)}"
"(17, 16, 16, 0)",1,"{(16, 17)}","{(0, 5, 4)}"
"(17, 17, 10, 0)",6,"{(17, 10)}","{(6, '?', 1)}"
"(17, 17, 16, 0)",5,"{(16, 17)}","{('?', '?', '?')}"
"(17, 17, 17, 0)",2,"{(17,)}","{(6, '?', 1)}"
