message,count,symbols,fixed_attribute_values
"(11, 8, 22, 0)",2,"{(8, 11, 22)}","{('?', 5, 9)}"
"(11, 8, 25, 0)",6,"{(8, 25, 11)}","{('?', '?', '?')}"
"(11, 8, 28, 0)",1,"{(8, 11, 28)}","{(2, 5, 12)}"
"(11, 8, 33, 0)",4,"{(8, 33, 11)}","{('?', '?', '?')}"
"(11, 8, 35, 0)",1,"{(8, 35, 11)}","{(2, 5, 6)}"
"(11, 8, 48, 0)",2,"{(8, 48, 11)}","{(5, '?', '?')}"
"(11, 8, 8, 0)",17,"{(8, 11)}","{('?', '?', '?')}"
"(13, 13, 32, 0)",1,"{(32, 13)}","{(0, 9, 0)}"
"(13, 18, 2, 0)",7,"{(18, 2, 13)}","{('?', '?', '?')}"
"(13, 18, 21, 0)",3,"{(18, 21, 13)}","{(7, '?', '?')}"
"(13, 18, 31, 0)",5,"{(18, 13, 31)}","{('?', '?', '?')}"
"(13, 18, 34, 0)",6,"{(18, 34, 13)}","{('?', '?', '?')}"
"(13, 18, 39, 0)",11,"{(18, 13, 39)}","{('?', '?', '?')}"
"(13, 18, 41, 0)",7,"{(41, 18, 13)}","{(7, '?', '?')}"
"(13, 18, 44, 0)",1,"{(18, 44, 13)}","{(0, 12, 14)}"
"(13, 19, 1, 0)",2,"{(1, 19, 13)}","{(1, '?', '?')}"
"(13, 19, 19, 0)",4,"{(19, 13)}","{('?', '?', '?')}"
"(13, 19, 2, 0)",2,"{(2, 19, 13)}","{('?', 13, '?')}"
"(13, 2, 1, 0)",1,"{(1, 2, 13)}","{(0, 7, 4)}"
"(13, 2, 15, 0)",2,"{(2, 13, 15)}","{(0, '?', 4)}"
"(13, 2, 19, 0)",2,"{(2, 19, 13)}","{('?', '?', '?')}"
"(13, 2, 2, 0)",3,"{(2, 13)}","{('?', '?', '?')}"
"(13, 2, 31, 0)",1,"{(2, 13, 31)}","{(0, 7, 4)}"
"(13, 2, 49, 0)",1,"{(49, 2, 13)}","{(0, 7, 15)}"
"(13, 26, 32, 0)",1,"{(32, 26, 13)}","{(0, 9, 0)}"
"(13, 26, 6, 0)",3,"{(26, 13, 6)}","{(7, '?', '?')}"
"(13, 30, 30, 0)",5,"{(13, 30)}","{(7, '?', '?')}"
"(13, 30, 41, 0)",1,"{(41, 13, 30)}","{(7, 3, '?')}"
"(13, 30, 6, 0)",4,"{(13, 30, 6)}","{(7, '?', '?')}"
"(13, 31, 31, 0)",10,"{(13, 31)}","{('?', '?', '?')}"
"(13, 31, 34, 0)",2,"{(34, 13, 31)}","{(7, 9, '?')}"
"(13, 31, 35, 0)",2,"{(35, 13, 31)}","{(7, 5, '?')}"
"(13, 31, 37, 0)",1,"{(37, 13, 31)}","{(7, 5, 7)}"
"(13, 32, 22, 0)",1,"{(32, 13, 22)}","{(7, 5, 1)}"
"(13, 32, 32, 0)",1,"{(32, 13)}","{(0, 7, 0)}"
"(13, 32, 5, 0)",3,"{(32, 5, 13)}","{('?', 5, '?')}"
"(13, 36, 1, 0)",8,"{(1, 36, 13)}","{('?', '?', '?')}"
"(13, 36, 16, 0)",2,"{(16, 36, 13)}","{(7, '?', '?')}"
"(13, 36, 32, 0)",4,"{(32, 36, 13)}","{('?', '?', '?')}"
"(13, 36, 34, 0)",1,"{(34, 36, 13)}","{(7, 7, 7)}"
"(13, 36, 6, 0)",4,"{(36, 13, 6)}","{(7, '?', '?')}"
"(13, 36, 7, 0)",3,"{(36, 13, 7)}","{('?', '?', '?')}"
"(13, 41, 41, 0)",3,"{(41, 13)}","{(7, '?', '?')}"
"(13, 45, 37, 0)",2,"{(37, 45, 13)}","{('?', 7, '?')}"
"(13, 45, 44, 0)",2,"{(45, 44, 13)}","{(0, 7, '?')}"
"(13, 45, 49, 0)",1,"{(49, 45, 13)}","{(0, 7, 15)}"
"(13, 46, 41, 0)",1,"{(41, 13, 46)}","{(7, 3, '?')}"
"(13, 46, 9, 0)",1,"{(9, 13, 46)}","{(7, 7, 2)}"
