message,concepts
"(3, 28, 47, 0)","[(15, 0, 4), (3, 0, 12), (15, 0, 12), (3, 0, 12), (3, 0, 12), (3, 1, 12), (3, 5, 12), (3, 0, 4), (15, 5, 4), (15, 0, 12), (3, 1, 4), (3, 1, 12), (3, 5, 12), (3, 0, 12), (3, 0, 4), (3, 1, 12), (3, 0, 12), (3, 5, 12), (3, 1, 12), (3, 5, 12), (3, 1, 4), (3, 1, 4), (15, 0, 12), (15, 5, 4), (3, 5, 12), (15, 0, 12), (3, 1, 4), (15, 5, 4), (15, 5, 4), (3, 1, 4), (3, 1, 12), (3, 1, 12), (3, 5, 12), (3, 0, 12)]"
"(3, 28, 48, 0)","[(15, 5, 4), (3, 0, 4), (3, 5, 12), (15, 0, 4), (15, 0, 12), (3, 0, 4), (3, 1, 12), (3, 0, 12), (3, 0, 4), (15, 0, 4), (3, 0, 12), (15, 0, 4), (15, 5, 4), (15, 0, 4), (15, 0, 12)]"
"(3, 30, 5, 0)","[(6, 0, '?'), (13, 1, '?'), (6, 0, '?'), (6, 0, '?'), (13, 1, '?'), (13, 1, '?'), (13, 1, '?'), (13, 1, '?'), (13, 5, '?'), (13, 5, '?'), (6, 0, '?'), (13, 1, '?'), (13, 5, '?'), (6, 0, '?'), (13, 1, '?'), (13, 5, '?'), (13, 5, '?'), (13, 5, '?'), (6, 0, '?'), (13, 5, '?')]"
"(3, 30, 34, 0)","[(14, 1, 12), (7, 1, 12), (14, 0, 12), (7, 5, 4), (14, 5, 4), (14, 0, 12), (14, 1, 12), (7, 0, 12), (14, 0, 12), (7, 0, 12), (7, 0, 12), (7, 0, 12), (7, 5, 4), (7, 5, 12), (7, 0, 4), (7, 5, 4), (14, 5, 4), (7, 5, 12), (7, 5, 12), (14, 0, 12), (14, 1, 12), (14, 5, 4), (7, 1, 12), (7, 0, 12), (7, 0, 12), (14, 1, 12), (7, 1, 12), (14, 0, 12), (7, 1, 12), (7, 5, 12), (7, 0, 4), (7, 5, 12), (14, 1, 12), (7, 0, 4), (7, 5, 4)]"
"(3, 30, 35, 0)","[(3, 5, 12), (3, 0, 4), (15, 0, 12), (13, 0, 4), (6, 5, 12), (13, 0, 12), (3, 0, 4), (6, 5, 4), (6, 5, 12), (6, 0, 12), (13, 0, 12), (6, 1, 12), (13, 0, 4), (13, 0, 12), (6, 1, 12), (13, 5, 12), (13, 5, 4), (13, 0, 12), (6, 5, 4), (13, 0, 12), (6, 5, 4), (6, 1, 12), (13, 5, 12), (13, 5, 12), (6, 1, 12), (13, 0, 4), (6, 5, 12), (6, 5, 12), (6, 1, 12), (13, 5, 4), (13, 0, 12), (13, 5, 4), (3, 1, 12), (3, 0, 12), (13, 5, 4), (6, 5, 4), (15, 0, 12), (13, 0, 12), (6, 5, 12), (13, 5, 4), (13, 5, 4), (13, 5, 12), (6, 0, 12), (6, 5, 4), (13, 0, 4), (6, 5, 4), (6, 0, 12), (6, 1, 12), (13, 5, 12), (3, 1, 12), (6, 5, 4), (6, 5, 4), (15, 0, 4), (13, 0, 12), (6, 1, 12), (6, 5, 12), (15, 5, 4), (13, 0, 4), (6, 0, 12), (6, 5, 12), (15, 0, 4), (6, 1, 12), (6, 0, 12)]"
"(3, 30, 40, 0)","[(7, 0, '?'), (7, 1, '?'), (7, 5, '?'), (7, 5, '?'), (7, 0, '?'), (7, 5, '?'), (7, 5, '?'), (7, 0, '?'), (7, 0, '?'), (7, 1, '?'), (7, 1, '?'), (7, 5, '?'), (7, 5, '?'), (7, 5, '?'), (7, 0, '?'), (7, 5, '?'), (7, 1, '?'), (7, 1, '?'), (7, 0, '?'), (7, 0, '?'), (7, 1, '?'), (7, 5, '?'), (7, 0, '?'), (7, 1, '?'), (7, 0, '?')]"
"(3, 30, 49, 0)","[(13, 1, '?'), (13, 5, '?'), (13, 5, '?'), (6, 0, '?'), (6, 0, '?'), (6, 0, '?'), (6, 0, 3)]"
"(3, 31, 31, 0)","[(13, 13, 12), (6, 10, 4), (13, 10, 4), (6, 10, 12), (6, 3, 4), (6, 10, 4), (13, 13, 12), (13, 10, 4), (6, 13, 4), (13, 10, 4), (13, 13, 12), (13, 3, 4), (6, 10, 4), (13, 3, 4)]"
"(3, 32, 31, 0)","[(13, 10, 4), (6, 10, 4), (13, 10, 12), (6, 10, 12), (13, 10, 12), (13, 10, 12)]"
"(3, 33, 46, 0)","[(6, 9, 3)]"
