message,concepts
"(8, 8, 8, 0)","[('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?'), ('?', 2, '?')]"
"(8, 9, 1, 0)","[(3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1), (3, 2, 1)]"
"(8, 9, 2, 0)","[(2, 2, 1), (2, 2, 1), (2, 2, 1), (2, 2, 1)]"
"(8, 9, 9, 0)","[('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), ('?', 2, 1), (2, 2, 1), ('?', 2, 1)]"
"(8, 10, 1, 0)","[(3, 2, 0), (1, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0), (3, 2, 0)]"
"(8, 12, 12, 0)","[(3, 2, 3), (3, 2, 3)]"
"(8, 14, 12, 0)","[(3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3), (3, 2, 3)]"
"(8, 14, 14, 0)","[('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3), ('?', 2, 3)]"
"(9, 1, 5, 0)","[(1, 1, 1), (1, 1, 1)]"
"(9, 1, 6, 0)","[(1, 1, 0)]"
"(9, 1, 9, 0)","[(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)]"
"(9, 1, 10, 0)","[(1, 1, 0), (1, 1, 0), (1, 1, 0), (1, 1, 0), (1, 1, 0), (1, 1, 0)]"
"(9, 1, 11, 0)","[('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1), ('?', '?', 1)]"
"(9, 1, 15, 0)","[(1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1), (1, 3, 1)]"
"(9, 5, 2, 0)","[(0, 1, 1)]"
"(9, 5, 5, 0)","[('?', 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1), (3, 1, 1)]"
"(9, 5, 9, 0)","[('?', 1, 1), ('?', 1, 1), ('?', 1, 1), ('?', 1, 1), ('?', 1, 1), ('?', 1, 1)]"
"(9, 6, 1, 0)","[(1, 1, 0)]"
"(9, 9, 2, 0)","[(0, 0, 1)]"
"(9, 9, 9, 0)","[(0, 0, 1)]"
"(9, 15, 1, 0)","[(3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1), (3, 3, 1)]"
