dataset,run,value,hierarchy_level,condition
"(4,8)",2,0.8498887433306637,3,mixed
"(5,4)",2,0.9859948217257269,0,mixed
"(5,4)",2,0.9643448016544461,1,mixed
"(5,4)",2,0.9576587993380711,2,mixed
"(5,4)",2,0.9495517650498406,3,mixed
"(5,4)",2,0.9571446130992299,4,mixed
"(3,4)",3,1.0,0,mixed
"(3,4)",3,0.9733038065937187,1,mixed
"(3,4)",3,0.9452906868831843,2,mixed
"(3,8)",3,0.9295878893850524,0,mixed
"(3,8)",3,0.8754495395185472,1,mixed
"(3,8)",3,0.84955521723455,2,mixed
"(3,16)",3,0.8772768180611389,0,mixed
"(3,16)",3,0.7870783652893031,1,mixed
"(3,16)",3,0.7083120057958259,2,mixed
"(4,4)",3,1.0,0,mixed
"(4,4)",3,1.0,1,mixed
"(4,4)",3,0.9963065141659478,2,mixed
"(4,4)",3,0.9886091282442487,3,mixed
"(4,8)",3,0.9721706727697808,0,mixed
"(4,8)",3,0.9241055482479805,1,mixed
"(4,8)",3,0.9013370167503401,2,mixed
"(4,8)",3,0.8676871178827208,3,mixed
"(5,4)",3,1.0,0,mixed
"(5,4)",3,0.9789693308111842,1,mixed
"(5,4)",3,0.969852114567875,2,mixed
"(5,4)",3,0.9513432165875648,3,mixed
"(5,4)",3,0.9462026669311482,4,mixed
"(3,4)",4,1.0,0,mixed
"(3,4)",4,0.9900617793352038,1,mixed
"(3,4)",4,0.96586947603464,2,mixed
"(3,8)",4,0.9451637302717523,0,mixed
"(3,8)",4,0.9042999792639482,1,mixed
"(3,8)",4,0.8902481461114379,2,mixed
"(3,16)",4,0.8507547443809544,0,mixed
"(3,16)",4,0.78347200877665,1,mixed
"(3,16)",4,0.7225198877936791,2,mixed
"(4,4)",4,1.0,0,mixed
"(4,4)",4,0.9986574257170704,1,mixed
"(4,4)",4,0.9973947097524951,2,mixed
"(4,4)",4,0.9940805505400032,3,mixed
"(4,8)",4,0.9610716223780722,0,mixed
"(4,8)",4,0.9397245849000199,1,mixed
"(4,8)",4,0.9258365762377706,2,mixed
"(4,8)",4,0.8981658370594521,3,mixed
"(5,4)",4,0.9858812941209558,0,mixed
"(5,4)",4,0.9803180805088,1,mixed
"(5,4)",4,0.9557575648113383,2,mixed
"(5,4)",4,0.9317718234373085,3,mixed
"(5,4)",4,0.947246816939302,4,mixed
"(3,4)",0,1.0,0,coarse
"(3,4)",0,0.5592098120810749,1,coarse
"(3,4)",0,0.4984229884002124,2,coarse
"(3,8)",0,0.4445306186704866,0,coarse
"(3,8)",0,0.4309601978274824,1,coarse
"(3,8)",0,0.37062225718547737,2,coarse
"(3,16)",0,0.92036338070372,0,coarse
"(3,16)",0,0.5446014234114602,1,coarse
"(3,16)",0,0.37416406660182,2,coarse
"(4,4)",0,0.9751842084530637,0,coarse
"(4,4)",0,0.6543172839761693,1,coarse
"(4,4)",0,0.5743624285542037,2,coarse
"(4,4)",0,0.5661597872024411,3,coarse
"(4,8)",0,0.979546271330797,0,coarse
"(4,8)",0,0.6047692607813251,1,coarse
"(4,8)",0,0.46036138285238726,2,coarse
"(4,8)",0,0.4412185952068872,3,coarse
"(5,4)",0,0.9898691725349404,0,coarse
"(5,4)",0,0.7653757842672133,1,coarse
"(5,4)",0,0.6939590950061619,2,coarse
"(5,4)",0,0.6542908324264418,3,coarse
"(5,4)",0,0.6715094144534413,4,coarse
"(3,4)",1,0.976433119849529,0,coarse
"(3,4)",1,0.594522211236798,1,coarse
"(3,4)",1,0.5787394710955405,2,coarse
"(3,8)",1,0.9725449321322566,0,coarse
"(3,8)",1,0.5498988716506421,1,coarse
"(3,8)",1,0.37892376592538557,2,coarse
"(3,16)",1,0.8158355170499658,0,coarse
"(3,16)",1,0.5680920090073296,1,coarse
"(3,16)",1,0.45618211508008155,2,coarse
"(4,4)",1,1.0,0,coarse
"(4,4)",1,0.6534178929612213,1,coarse
"(4,4)",1,0.5386907733712762,2,coarse
"(4,4)",1,0.5787061390290315,3,coarse
"(4,8)",1,0.961991355283093,0,coarse
"(4,8)",1,0.6091664941486687,1,coarse
"(4,8)",1,0.4853367990391718,2,coarse
"(4,8)",1,0.4756247668274045,3,coarse
"(5,4)",1,1.0,0,coarse
"(5,4)",1,0.6765205241098264,1,coarse
"(5,4)",1,0.5707429497155876,2,coarse
"(5,4)",1,0.5412526562924003,3,coarse
"(5,4)",1,0.5649396779789182,4,coarse
"(3,4)",2,1.0,0,coarse
"(3,4)",2,0.5847458323834815,1,coarse
"(3,4)",2,0.5970665906380621,2,coarse
"(3,8)",2,0.9887727332093424,0,coarse
